width,delay

22,2.14238e-11

44,1.84076e-11

66,1.72113e-11

88,1.67704e-11

110,1.65036e-11

132,1.62485e-11

154,1.59436e-11

176,1.55806e-11

198,1.51689e-11

220,1.46824e-11

22,2.14238e-11

44,1.84076e-11

66,1.72113e-11

88,1.67704e-11

110,1.65036e-11

132,1.62485e-11

154,1.59436e-11

176,1.55806e-11

198,1.51689e-11

220,1.46824e-11

22,2.32478e-11

44,1.84076e-11

66,1.93835e-11

88,1.81744e-11

110,1.72514e-11

132,1.67928e-11

154,1.65096e-11

176,1.63234e-11

198,1.61918e-11

220,1.60954e-11

22,2.22010e-11

44,1.84076e-11

66,1.72168e-11

88,2.07343e-11

110,2.08524e-11

132,2.10097e-11

154,2.11904e-11

176,2.13900e-11

198,2.16031e-11

220,2.18125e-11
